r,t,m,y,TotalAnnualTechnologyActivityByMode
RE1,MINSOL,1,2034,34.0812
RE1,MINSOL,1,2035,37.2558
RE1,MINSOL,1,2036,39.5151
RE1,MINSOL,1,2037,41.9233
RE1,MINSOL,1,2038,44.4915
RE1,MINSOL,1,2039,47.232
RE1,MINSOL,1,2040,50.1576
RE1,MINSOL,1,2041,52.6225
RE1,MINSOL,1,2042,55.2177
RE1,MINSOL,1,2043,57.951
RE1,MINSOL,1,2044,60.8309
RE1,MINSOL,1,2045,63.8663
RE1,MINSOL,1,2046,66.7803
RE1,MINSOL,1,2047,69.8601
RE1,MINSOL,1,2048,73.1149
RE1,MINSOL,1,2049,76.5541
RE1,MINSOL,1,2050,103.7307
RE1,MINSOL,1,2051,106.4543
RE1,MINSOL,1,2052,109.2574
RE1,MINSOL,1,2053,112.1425
RE1,MINSOL,1,2054,115.112
RE1,MINSOL,1,2055,118.1687
RE1,MINSOL,1,2056,121.3154
RE1,MINSOL,1,2057,124.5547
RE1,MINSOL,1,2058,127.8898
RE1,MINSOL,1,2059,131.3237
RE1,MINSOL,1,2060,134.8597
RE1,MINSOL,1,2061,137.4736
RE1,MINSOL,1,2062,140.142
RE1,MINSOL,1,2063,142.866
RE1,MINSOL,1,2064,145.647
RE1,MINSOL,1,2065,148.4864
RE1,MINSOL,1,2066,151.3856
RE1,MINSOL,1,2067,154.3459
RE1,MINSOL,1,2068,157.3687
RE1,MINSOL,1,2069,160.4557
RE1,MINSOL,1,2070,210.2947
RE1,MINWND,1,2024,0.0241
RE1,MINWND,1,2025,0.0241
RE1,MINWND,1,2026,0.2413
RE1,MINWND,1,2027,0.2413
RE1,MINWND,1,2028,2.3767
RE1,MINWND,1,2029,16.7886
RE1,MINWND,1,2030,17.2445
RE1,MINWND,1,2031,17.5923
RE1,MINWND,1,2032,20.5805
RE1,MINWND,1,2033,23.1763
RE1,MINWND,1,2034,25.3483
RE1,MINWND,1,2035,30.5783
RE1,MINWND,1,2036,32.4327
RE1,MINWND,1,2037,34.4092
RE1,MINWND,1,2038,36.5172
RE1,MINWND,1,2039,38.7664
RE1,MINWND,1,2040,41.1677
RE1,MINWND,1,2041,43.1908
RE1,MINWND,1,2042,45.3208
RE1,MINWND,1,2043,47.5642
RE1,MINWND,1,2044,49.928
RE1,MINWND,1,2045,52.4193
RE1,MINWND,1,2046,54.811
RE1,MINWND,1,2047,57.3388
RE1,MINWND,1,2048,60.0102
RE1,MINWND,1,2049,62.8331
RE1,MINWND,1,2050,85.1387
RE1,MINWND,1,2051,87.3741
RE1,MINWND,1,2052,89.6748
RE1,MINWND,1,2053,92.0428
RE1,MINWND,1,2054,94.4801
RE1,MINWND,1,2055,96.9889
RE1,MINWND,1,2056,99.5716
RE1,MINWND,1,2057,102.2303
RE1,MINWND,1,2058,104.9676
RE1,MINWND,1,2059,107.7861
RE1,MINWND,1,2060,110.6883
RE1,MINWND,1,2061,112.8338
RE1,MINWND,1,2062,115.0238
RE1,MINWND,1,2063,117.2596
RE1,MINWND,1,2064,119.5421
RE1,MINWND,1,2065,121.8726
RE1,MINWND,1,2066,124.2522
RE1,MINWND,1,2067,126.6819
RE1,MINWND,1,2068,129.163
RE1,MINWND,1,2069,131.6966
RE1,MINWND,1,2070,172.6028
RE1,MINHYD,1,2015,5.2871
RE1,MINHYD,1,2016,5.0434
RE1,MINHYD,1,2017,5.9525
RE1,MINHYD,1,2018,4.75
RE1,MINHYD,1,2019,4.1785
RE1,MINHYD,1,2020,3.0091
RE1,MINHYD,1,2021,10.5186
RE1,MINHYD,1,2022,13.4122
RE1,MINHYD,1,2023,13.4122
RE1,MINHYD,1,2024,13.4122
RE1,MINHYD,1,2025,13.4122
RE1,MINHYD,1,2026,13.4122
RE1,MINHYD,1,2027,13.4122
RE1,MINHYD,1,2028,13.4122
RE1,MINHYD,1,2029,13.4122
RE1,MINHYD,1,2030,13.4122
RE1,MINHYD,1,2031,13.4122
RE1,MINHYD,1,2032,13.4122
RE1,MINHYD,1,2033,13.4122
RE1,MINHYD,1,2034,13.4122
RE1,MINHYD,1,2035,13.4122
RE1,MINHYD,1,2036,13.4122
RE1,MINHYD,1,2037,13.4122
RE1,MINHYD,1,2038,13.4122
RE1,MINHYD,1,2039,13.4122
RE1,MINHYD,1,2040,13.4122
RE1,MINHYD,1,2041,13.4122
RE1,MINHYD,1,2042,13.4122
RE1,MINHYD,1,2043,13.4122
RE1,MINHYD,1,2044,13.4122
RE1,MINHYD,1,2045,13.4122
RE1,MINHYD,1,2046,13.4122
RE1,MINHYD,1,2047,13.4122
RE1,MINHYD,1,2048,13.4122
RE1,MINHYD,1,2049,13.4122
RE1,MINHYD,1,2050,13.4122
RE1,MINHYD,1,2051,13.4122
RE1,MINHYD,1,2052,13.4122
RE1,MINHYD,1,2053,13.4122
RE1,MINHYD,1,2054,13.4122
RE1,MINHYD,1,2055,13.4122
RE1,MINHYD,1,2056,13.4122
RE1,MINHYD,1,2057,13.4122
RE1,MINHYD,1,2058,13.4122
RE1,MINHYD,1,2059,13.4122
RE1,MINHYD,1,2060,13.4122
RE1,MINHYD,1,2061,13.4122
RE1,MINHYD,1,2062,13.4122
RE1,MINHYD,1,2063,13.4122
RE1,MINHYD,1,2064,13.4122
RE1,MINHYD,1,2065,13.4122
RE1,MINHYD,1,2066,13.4122
RE1,MINHYD,1,2067,13.4122
RE1,MINHYD,1,2068,13.4122
RE1,MINHYD,1,2069,13.4122
RE1,MINHYD,1,2070,13.4122
RE1,PWRBIO001,1,2024,0.711
RE1,PWRBIO001,1,2025,1.3381
RE1,PWRBIO001,1,2026,2.286
RE1,PWRBIO001,1,2027,6.2724
RE1,PWRBIO001,1,2028,6.2724
RE1,PWRBIO001,1,2029,6.2724
RE1,PWRBIO001,1,2030,6.2724
RE1,PWRBIO001,1,2031,6.2724
RE1,PWRBIO001,1,2032,6.2724
RE1,PWRBIO001,1,2033,9.9466
RE1,PWRBIO001,1,2034,9.3195
RE1,PWRBIO001,1,2035,19.9526
RE1,PWRBIO001,1,2036,24.3245
RE1,PWRBIO001,1,2037,25.8069
RE1,PWRBIO001,1,2038,27.3879
RE1,PWRBIO001,1,2039,29.0748
RE1,PWRBIO001,1,2040,30.8758
RE1,PWRBIO001,1,2041,30.8397
RE1,PWRBIO001,1,2042,26.5743
RE1,PWRBIO001,1,2043,22.3481
RE1,PWRBIO001,1,2044,12.2404
RE1,PWRBIO001,1,2045,3.9514
RE1,PWRCOA001,1,2026,0.9041
RE1,PWRCOA001,1,2035,0.6312
RE1,PWRCOA001,1,2036,1.8345
RE1,PWRCOA001,1,2037,2.8882
RE1,PWRCOA001,1,2038,10.8264
RE1,PWRCOA001,1,2039,11.0308
RE1,PWRCOA001,1,2040,10.1092
RE1,PWRCOA001,1,2041,9.1566
RE1,PWRCOA001,1,2042,6.6161
RE1,PWRCOA001,1,2043,0.2425
RE1,PWROHC001,1,2038,24.8005
RE1,PWROHC001,1,2039,20.8065
RE1,PWROHC001,1,2040,11.5647
RE1,PWROHC001,1,2041,3.3175
RE1,PWROHC002,1,2039,0.7196
RE1,PWROHC002,1,2040,2.3568
RE1,PWROHC002,1,2041,3.4237
RE1,PWROHC002,1,2042,4.3015
RE1,PWROHC002,1,2043,4.9765
RE1,PWROHC002,1,2044,4.3741
RE1,PWROHC002,1,2045,3.7374
RE1,PWROHC002,1,2046,3.0524
RE1,PWROHC002,1,2047,2.3375
RE1,PWROHC002,1,2048,1.5915
RE1,PWROHC002,1,2049,0.8128
RE1,PWRNGS001,1,2022,7.6922
RE1,PWRNGS001,1,2023,13.6295
RE1,PWRNGS001,1,2024,13.6295
RE1,PWRNGS001,1,2025,13.4192
RE1,PWRNGS001,1,2026,13.1894
RE1,PWRNGS001,1,2027,12.4602
RE1,PWRNGS001,1,2028,12.5107
RE1,PWRNGS001,1,2029,11.942
RE1,PWRNGS001,1,2030,11.3371
RE1,PWRNGS001,1,2031,10.5761
RE1,PWRNGS001,1,2032,9.8269
RE1,PWRNGS001,1,2033,9.0882
RE1,PWRNGS001,1,2034,8.3756
RE1,PWRNGS001,1,2035,7.6751
RE1,PWRNGS001,1,2036,6.9882
RE1,PWRNGS001,1,2037,6.3165
RE1,PWRNGS001,1,2038,5.6618
RE1,PWRNGS001,1,2039,4.8678
RE1,PWRNGS001,1,2040,4.7577
RE1,PWRNGS001,1,2041,4.591
RE1,PWRNGS001,1,2042,4.3648
RE1,PWRNGS001,1,2043,4.0759
RE1,PWRNGS001,1,2044,3.7209
RE1,PWRNGS001,1,2045,3.2965
RE1,PWRNGS001,1,2046,2.799
RE1,PWRNGS001,1,2047,2.2246
RE1,PWRNGS001,1,2048,1.5694
RE1,PWRNGS001,1,2049,0.8152
RE1,PWRSOL001,1,2015,0.1719
RE1,PWRSOL001,1,2017,0.1736
RE1,PWRSOL001,1,2021,0.5019
RE1,PWRSOL001,1,2022,0.5019
RE1,PWRSOL001,1,2023,0.6485
RE1,PWRSOL001,1,2024,1.9903
RE1,PWRSOL001,1,2025,6.8632
RE1,PWRSOL001,1,2026,7.2281
RE1,PWRSOL001,1,2027,7.6138
RE1,PWRSOL001,1,2028,8.0214
RE1,PWRSOL001,1,2029,8.4524
RE1,PWRSOL001,1,2030,8.9083
RE1,PWRSOL001,1,2031,9.2561
RE1,PWRSOL001,1,2032,9.6349
RE1,PWRSOL001,1,2033,10.0457
RE1,PWRSOL001,1,2034,10.4898
RE1,PWRSOL001,1,2035,11.4669
RE1,PWRSOL001,1,2036,12.1623
RE1,PWRSOL001,1,2037,12.9035
RE1,PWRSOL001,1,2038,13.6939
RE1,PWRSOL001,1,2039,14.5374
RE1,PWRSOL001,1,2040,15.4379
RE1,PWRSOL001,1,2041,16.1966
RE1,PWRSOL001,1,2042,16.9953
RE1,PWRSOL001,1,2043,17.8366
RE1,PWRSOL001,1,2044,18.723
RE1,PWRSOL001,1,2045,19.6572
RE1,PWRSOL001,1,2046,20.5541
RE1,PWRSOL001,1,2047,21.5021
RE1,PWRSOL001,1,2048,22.5038
RE1,PWRSOL001,1,2049,23.5624
RE1,PWRSOL001,1,2050,31.927
RE1,PWRSOL001,1,2051,32.7653
RE1,PWRSOL001,1,2052,33.6281
RE1,PWRSOL001,1,2053,34.516
RE1,PWRSOL001,1,2054,35.43
RE1,PWRSOL001,1,2055,36.3708
RE1,PWRSOL001,1,2056,37.3393
RE1,PWRSOL001,1,2057,38.3364
RE1,PWRSOL001,1,2058,39.3629
RE1,PWRSOL001,1,2059,40.4198
RE1,PWRSOL001,1,2060,41.5081
RE1,PWRSOL001,1,2061,42.3127
RE1,PWRSOL001,1,2062,43.1339
RE1,PWRSOL001,1,2063,43.9723
RE1,PWRSOL001,1,2064,44.8283
RE1,PWRSOL001,1,2065,45.7022
RE1,PWRSOL001,1,2066,46.5946
RE1,PWRSOL001,1,2067,47.5057
RE1,PWRSOL001,1,2068,48.4361
RE1,PWRSOL001,1,2069,49.3862
RE1,PWRSOL001,1,2070,64.7261
RE1,PWRHYD001,1,2015,3.5734
RE1,PWRHYD001,1,2016,3.3297
RE1,PWRHYD001,1,2017,4.2387
RE1,PWRHYD001,1,2018,3.0363
RE1,PWRHYD001,1,2019,2.4647
RE1,PWRHYD001,1,2020,1.2953
RE1,PWRHYD001,1,2021,5.186
RE1,PWRHYD001,1,2022,8.0796
RE1,PWRHYD001,1,2023,8.0796
RE1,PWRHYD001,1,2024,8.0796
RE1,PWRHYD001,1,2025,8.0796
RE1,PWRHYD001,1,2026,8.0796
RE1,PWRHYD001,1,2027,8.0796
RE1,PWRHYD001,1,2028,8.0796
RE1,PWRHYD001,1,2029,8.0796
RE1,PWRHYD001,1,2030,8.0796
RE1,PWRHYD001,1,2031,8.0796
RE1,PWRHYD001,1,2032,8.0796
RE1,PWRHYD001,1,2033,8.0796
RE1,PWRHYD001,1,2034,8.0796
RE1,PWRHYD001,1,2035,8.0796
RE1,PWRHYD001,1,2036,8.0796
RE1,PWRHYD001,1,2037,8.0796
RE1,PWRHYD001,1,2038,8.0796
RE1,PWRHYD001,1,2039,8.0796
RE1,PWRHYD001,1,2040,8.0796
RE1,PWRHYD001,1,2041,8.0796
RE1,PWRHYD001,1,2042,8.0796
RE1,PWRHYD001,1,2043,8.0796
RE1,PWRHYD001,1,2044,8.0796
RE1,PWRHYD001,1,2045,8.0796
RE1,PWRHYD001,1,2046,8.0796
RE1,PWRHYD001,1,2047,8.0796
RE1,PWRHYD001,1,2048,8.0796
RE1,PWRHYD001,1,2049,8.0796
RE1,PWRHYD001,1,2050,8.0796
RE1,PWRHYD001,1,2051,8.0796
RE1,PWRHYD001,1,2052,8.0796
RE1,PWRHYD001,1,2053,8.0796
RE1,PWRHYD001,1,2054,8.0796
RE1,PWRHYD001,1,2055,8.0796
RE1,PWRHYD001,1,2056,8.0796
RE1,PWRHYD001,1,2057,8.0796
RE1,PWRHYD001,1,2058,8.0796
RE1,PWRHYD001,1,2059,8.0796
RE1,PWRHYD001,1,2060,8.0796
RE1,PWRHYD001,1,2061,8.0796
RE1,PWRHYD001,1,2062,8.0796
RE1,PWRHYD001,1,2063,8.0796
RE1,PWRHYD001,1,2064,8.0796
RE1,PWRHYD001,1,2065,8.0796
RE1,PWRHYD001,1,2066,8.0796
RE1,PWRHYD001,1,2067,8.0796
RE1,PWRHYD001,1,2068,8.0796
RE1,PWRHYD001,1,2069,8.0796
RE1,PWRHYD001,1,2070,8.0796
RE1,PWRHYD002,1,2015,1.7138
RE1,PWRHYD002,1,2016,1.7138
RE1,PWRHYD002,1,2017,1.7138
RE1,PWRHYD002,1,2018,1.7138
RE1,PWRHYD002,1,2019,1.7138
RE1,PWRHYD002,1,2020,1.7138
RE1,PWRHYD002,1,2021,3.0972
RE1,PWRHYD002,1,2022,3.0972
RE1,PWRHYD002,1,2023,3.0972
RE1,PWRHYD002,1,2024,3.0972
RE1,PWRHYD002,1,2025,3.0972
RE1,PWRHYD002,1,2026,3.0972
RE1,PWRHYD002,1,2027,3.0972
RE1,PWRHYD002,1,2028,3.0972
RE1,PWRHYD002,1,2029,3.0972
RE1,PWRHYD002,1,2030,3.0972
RE1,PWRHYD002,1,2031,3.0972
RE1,PWRHYD002,1,2032,3.0972
RE1,PWRHYD002,1,2033,3.0972
RE1,PWRHYD002,1,2034,3.0972
RE1,PWRHYD002,1,2035,3.0972
RE1,PWRHYD002,1,2036,3.0972
RE1,PWRHYD002,1,2037,3.0972
RE1,PWRHYD002,1,2038,3.0972
RE1,PWRHYD002,1,2039,3.0972
RE1,PWRHYD002,1,2040,3.0972
RE1,PWRHYD002,1,2041,3.0972
RE1,PWRHYD002,1,2042,3.0972
RE1,PWRHYD002,1,2043,3.0972
RE1,PWRHYD002,1,2044,3.0972
RE1,PWRHYD002,1,2045,3.0972
RE1,PWRHYD002,1,2046,3.0972
RE1,PWRHYD002,1,2047,3.0972
RE1,PWRHYD002,1,2048,3.0972
RE1,PWRHYD002,1,2049,3.0972
RE1,PWRHYD002,1,2050,3.0972
RE1,PWRHYD002,1,2051,3.0972
RE1,PWRHYD002,1,2052,3.0972
RE1,PWRHYD002,1,2053,3.0972
RE1,PWRHYD002,1,2054,3.0972
RE1,PWRHYD002,1,2055,3.0972
RE1,PWRHYD002,1,2056,3.0972
RE1,PWRHYD002,1,2057,3.0972
RE1,PWRHYD002,1,2058,3.0972
RE1,PWRHYD002,1,2059,3.0972
RE1,PWRHYD002,1,2060,3.0972
RE1,PWRHYD002,1,2061,3.0972
RE1,PWRHYD002,1,2062,3.0972
RE1,PWRHYD002,1,2063,3.0972
RE1,PWRHYD002,1,2064,3.0972
RE1,PWRHYD002,1,2065,3.0972
RE1,PWRHYD002,1,2066,3.0972
RE1,PWRHYD002,1,2067,3.0972
RE1,PWRHYD002,1,2068,3.0972
RE1,PWRHYD002,1,2069,3.0972
RE1,PWRHYD002,1,2070,3.0972
RE1,PWRHYD003,1,2021,2.0118
RE1,PWRHYD003,1,2022,2.0118
RE1,PWRHYD003,1,2023,2.0118
RE1,PWRHYD003,1,2024,2.0118
RE1,PWRHYD003,1,2025,2.0118
RE1,PWRHYD003,1,2026,2.0118
RE1,PWRHYD003,1,2027,2.0118
RE1,PWRHYD003,1,2028,2.0118
RE1,PWRHYD003,1,2029,2.0118
RE1,PWRHYD003,1,2030,2.0118
RE1,PWRHYD003,1,2031,2.0118
RE1,PWRHYD003,1,2032,2.0118
RE1,PWRHYD003,1,2033,2.0118
RE1,PWRHYD003,1,2034,2.0118
RE1,PWRHYD003,1,2035,2.0118
RE1,PWRHYD003,1,2036,2.0118
RE1,PWRHYD003,1,2037,2.0118
RE1,PWRHYD003,1,2038,2.0118
RE1,PWRHYD003,1,2039,2.0118
RE1,PWRHYD003,1,2040,2.0118
RE1,PWRHYD003,1,2041,2.0118
RE1,PWRHYD003,1,2042,2.0118
RE1,PWRHYD003,1,2043,2.0118
RE1,PWRHYD003,1,2044,2.0118
RE1,PWRHYD003,1,2045,2.0118
RE1,PWRHYD003,1,2046,2.0118
RE1,PWRHYD003,1,2047,2.0118
RE1,PWRHYD003,1,2048,2.0118
RE1,PWRHYD003,1,2049,2.0118
RE1,PWRHYD003,1,2050,2.0118
RE1,PWRHYD003,1,2051,2.0118
RE1,PWRHYD003,1,2052,2.0118
RE1,PWRHYD003,1,2053,2.0118
RE1,PWRHYD003,1,2054,2.0118
RE1,PWRHYD003,1,2055,2.0118
RE1,PWRHYD003,1,2056,2.0118
RE1,PWRHYD003,1,2057,2.0118
RE1,PWRHYD003,1,2058,2.0118
RE1,PWRHYD003,1,2059,2.0118
RE1,PWRHYD003,1,2060,2.0118
RE1,PWRHYD003,1,2061,2.0118
RE1,PWRHYD003,1,2062,2.0118
RE1,PWRHYD003,1,2063,2.0118
RE1,PWRHYD003,1,2064,2.0118
RE1,PWRHYD003,1,2065,2.0118
RE1,PWRHYD003,1,2066,2.0118
RE1,PWRHYD003,1,2067,2.0118
RE1,PWRHYD003,1,2068,2.0118
RE1,PWRHYD003,1,2069,2.0118
RE1,PWRHYD003,1,2070,2.0118
RE1,PWRWND001,1,2024,0.0241
RE1,PWRWND001,1,2025,0.0241
RE1,PWRWND001,1,2026,0.2413
RE1,PWRWND001,1,2027,0.2413
RE1,PWRWND001,1,2028,2.3767
RE1,PWRWND001,1,2029,8.4524
RE1,PWRWND001,1,2030,8.9083
RE1,PWRWND001,1,2031,9.2561
RE1,PWRWND001,1,2032,9.6349
RE1,PWRWND001,1,2033,10.0457
RE1,PWRWND001,1,2034,10.4898
RE1,PWRWND001,1,2035,11.4669
RE1,PWRWND001,1,2036,12.1623
RE1,PWRWND001,1,2037,12.9035
RE1,PWRWND001,1,2038,13.6939
RE1,PWRWND001,1,2039,14.5374
RE1,PWRWND001,1,2040,15.4379
RE1,PWRWND001,1,2041,16.1966
RE1,PWRWND001,1,2042,16.9953
RE1,PWRWND001,1,2043,17.8366
RE1,PWRWND001,1,2044,18.723
RE1,PWRWND001,1,2045,19.6572
RE1,PWRWND001,1,2046,20.5541
RE1,PWRWND001,1,2047,21.5021
RE1,PWRWND001,1,2048,22.5038
RE1,PWRWND001,1,2049,23.5624
RE1,PWRWND001,1,2050,31.927
RE1,PWRWND001,1,2051,32.7653
RE1,PWRWND001,1,2052,33.6281
RE1,PWRWND001,1,2053,34.516
RE1,PWRWND001,1,2054,35.43
RE1,PWRWND001,1,2055,36.3708
RE1,PWRWND001,1,2056,37.3393
RE1,PWRWND001,1,2057,38.3364
RE1,PWRWND001,1,2058,39.3629
RE1,PWRWND001,1,2059,40.4198
RE1,PWRWND001,1,2060,41.5081
RE1,PWRWND001,1,2061,42.3127
RE1,PWRWND001,1,2062,43.1339
RE1,PWRWND001,1,2063,43.9723
RE1,PWRWND001,1,2064,44.8283
RE1,PWRWND001,1,2065,45.7022
RE1,PWRWND001,1,2066,46.5946
RE1,PWRWND001,1,2067,47.5057
RE1,PWRWND001,1,2068,48.4361
RE1,PWRWND001,1,2069,49.3862
RE1,PWRWND001,1,2070,64.7261
RE1,PWRSOL001S,1,2025,6.8632
RE1,PWRSOL001S,1,2026,7.2281
RE1,PWRSOL001S,1,2027,7.6138
RE1,PWRSOL001S,1,2028,8.0214
RE1,PWRSOL001S,1,2029,8.4524
RE1,PWRSOL001S,1,2030,8.9083
RE1,PWRSOL001S,1,2031,9.2561
RE1,PWRSOL001S,1,2032,9.6349
RE1,PWRSOL001S,1,2033,10.0457
RE1,PWRSOL001S,1,2034,10.4898
RE1,PWRSOL001S,1,2035,11.4669
RE1,PWRSOL001S,1,2036,12.1623
RE1,PWRSOL001S,1,2037,12.9035
RE1,PWRSOL001S,1,2038,13.6939
RE1,PWRSOL001S,1,2039,14.5374
RE1,PWRSOL001S,1,2040,15.4379
RE1,PWRSOL001S,1,2041,16.1966
RE1,PWRSOL001S,1,2042,16.9953
RE1,PWRSOL001S,1,2043,17.8366
RE1,PWRSOL001S,1,2044,18.723
RE1,PWRSOL001S,1,2045,19.6572
RE1,PWRSOL001S,1,2046,20.5541
RE1,PWRSOL001S,1,2047,21.5021
RE1,PWRSOL001S,1,2048,22.5038
